Term A,Term B,conjunction,A~B,B~A,disjunction,conj/disj
Ambiguus,Inferior temporal,2,1214,6613,7827,0.000255526
Amygdala,Postcentral gyrus,19,23338,605,23943,0.000793551
Cingulum,"(""Posterior nucleus"" AND hypothalamus)",9,676,2731,3407,0.00264162
Claustrum,Suprachiasmatic,18,837,6008,6845,0.002629657
Broca's area,"(""Medial dorsal"" AND nucl*)",0,52423,1,52424,0
Calcarine fissure,(Dorsomedial AND hypothal*),0,120,0,120,0
Calcarine fissure,Entorhinal,1,119,5546,5665,0.000176523
Broca's area,Parahippocamp*,0,52423,0,52423,0
Calcarine fissure,"(""Ventral posteromedial"" AND (nuclei OR nucleus))",0,120,143,263,0
Basal forbrain,(Superior AND collicul*),831,1,172327,172328,0.0048222
Cerebellum,"(Medulla OR ""medulla oblongata"")",3139,53744,19426,73170,0.042900096
Cerebellum,"(""Superior olive"" OR ""superior olivary"")",45,56838,469,57307,0.000785244
Cerebellum,Pons,3315,53568,14238,67806,0.048889479
Diagonal band of Broca,"(""Posterior nucleus"" AND hypothalamus)",56,852,2684,3536,0.015837104
Diagonal band of Broca,Superior frontal,9,899,4946,5845,0.001539778
Hippocamp*,(Periventricular AND (nuclei OR nucleus)),2,182,1072,1254,0.001594896
Hippocamp*,Medial frontal,0,184,5878,6062,0
Dentate gyrus,"(""Nucleus gracilis"" OR ""gracile nucleus"")",0,11957,6,11963,0
Hippocamp*,Visual cortex,9,175,39244,39419,0.000228316
(Inferior AND collicul*),Primary auditory,388,80945,4998,85943,0.00451462
(Inferior AND collicul*),(Superior AND collicul*),17298,64035,155029,219064,0.078963225
Inferior temporal,Orbitofrontal,176,6439,2820,9259,0.019008532
Insula*,"(""Ventral posteromedial"" AND (nuclei OR nucleus))",2,3108,141,3249,0.000615574
Interstitial nucleus,Thalamus,77,1962,32463,34425,0.002236747
Inferior frontal,Stria terminalis,8,5114,2727,7841,0.001020278
Inferior temporal,Perirhinal,68,6547,1132,7679,0.00885532
"(""Medial dorsal"" AND nucl*)",Pontine nuclei,0,1,7708,7709,0
Inferior temporal,Paracentral lobule,13,6602,54,6656,0.001953125
"(""Inferior olive"" OR ""Inferior olivary"")",Medial frontal,9,825,5869,6694,0.001344488
Medial frontal,Substantia nigra,162,5716,19227,24943,0.006494808
Infralimbic,Olfactory bulb,9,487,11260,11747,0.000766153
Middle temporal,Zona incerta,32,37391,2888,40279,0.000794459
Lateral geniculate,periaqueductal,68,5767,4508,10275,0.006618005
Middle temporal,(Septal AND (nuclei OR nucleus)),6,37417,2407,39824,0.000150663
"(Medulla OR ""medulla oblongata"")",Perirhinal,4,22561,1196,23757,0.000168371
Nucleus accumbens,Parahippocamp*,0,12807,0,12807,0
"(""Nucleus cuneatus"" OR ""cuneate nucleus"")",Operculum,0,8,926,934,0
Olfactory bulb,Pontine nuclei,176,11093,7532,18625,0.009449664
Pineal,"(""Ventral posterior"" AND (nuclei OR nucleus))",12,14391,1466,15857,0.000756764
Posterior cingulate,Subgranular,0,2925,632,3557,0
Nucleus basalis,"(""Superior olive"" OR ""superior olivary"")",1,2329,513,2842,0.000351865
Posterior parietal,Zona incerta,17,5697,2903,8600,0.001976744
Pontine nuclei,Putamen,218,7490,10531,18021,0.012096998
(Septal AND (nuclei OR nucleus)),(Superior AND collicul*),101,2312,172226,174538,0.000578671
Subgranular,Visual cortex,1,631,39252,39883,2.51E-05
Premotor,Superior temporal,314,4415,8647,13062,0.024039198
Postcentral gyrus,"(""Straight gyrus"" OR ""gyrus rectus"")",0,624,2,626,0
(Superior AND collicul*),Temporoparietal,149,172178,1311,173489,0.000858844
Putamen,Pulvinar,54,10695,1079,11774,0.004586377
Caudate,Perirhinal,40,18761,1160,19921,0.002007931
Caudate,"(""Nucleus gracilis"" OR ""gracile nucleus"")",0,18801,6,18807,0
Angular gyrus,Caudate,22,619,18779,19398,0.001134138
Ambiguus,Lateral geniculate,8,1208,5827,7035,0.001137171
Angular gyrus,(Superior AND collicul*),223,418,172104,172522,0.001292589
Amygdala,Fusiform,269,23088,5186,28274,0.009514041
Anterior cingulate,"(""Nucleus cuneatus"" OR ""cuneate nucleus"")",0,6773,8,6781,0
Dorsolateral prefrontal,(Superior AND collicul*),453,3159,171874,175033,0.002588083
(Dorsomedial AND hypothal*),Subiculum,0,0,1880,1880,0
Basal forbrain,(Inferior AND collicul*),533,1,81333,81334,0.006553225
Calcarine fissure,Claustrum,0,120,855,975,0
Broca's area,Thalamus,2691,49732,29849,79581,0.033814604
"(""Centromedian"" AND (nuclei OR nucleus))",Perirhinal,1,142,1199,1341,0.000745712
"(""Centromedian"" AND (nuclei OR nucleus))",Visual cortex,7,136,39246,39382,0.000177746
Globus pallidus,Superior temporal,51,8055,8910,16965,0.003006189
Cingulate,"(""Medial dorsal"" AND nucl*)",0,11104,1,11105,0
Globus pallidus,Primary auditory,12,8094,5374,13468,0.000891001
Diagonal band of Broca,Lingual gyrus,0,908,433,1341,0
Diagonal band of Broca,Operculum,1,907,925,1832,0.000545852
Dentate gyrus,"(""Ventral anterior"" AND (nuclei OR nucleus))",50,11907,1408,13315,0.003755163
Diagonal band of Broca,Posterior cingulate,14,894,2911,3805,0.003679369
(Inferior AND collicul*),Temporoparietal,133,81200,1327,82527,0.001611594
"(""Heschl's gyrus"" OR ""Transverse temporal"")",Posterior parietal,2,4,5712,5716,0.000349895
Inferior frontal,Operculum,127,4995,799,5794,0.021919227
(Intralaminar AND (nuclei OR nucleus)),Lingual gyrus,0,776,433,1209,0
Insula*,"(""Superior olive"" OR ""superior olivary"")",0,3110,514,3624,0
Interstitial nucleus,Ventromedial prefrontal,1,2038,763,2801,0.000357015
(Intralaminar AND (nuclei OR nucleus)),"(""Medial dorsal"" AND nucl*)",1,775,0,775,0.001290323
"(""Heschl's gyrus"" OR ""Transverse temporal"")",Prefrontal,0,6,24101,24107,0
Medial frontal,Primary auditory,40,5838,5346,11184,0.003576538
Medial geniculate,Posterior parahippocampal gyrus,3,1859,486,2345,0.001279318
Nucleus accumbens,Precuneus,7,12800,1213,14013,0.000499536
"(Medulla OR ""medulla oblongata"")",(Septal AND (nuclei OR nucleus)),84,22481,2329,24810,0.003385732
Nucleus basalis,Perirhinal,14,2316,1186,3502,0.003997716
Posterior parietal,Supplementary motor,260,5454,2514,7968,0.032630522
Perirhinal,Stria terminalis,30,1170,2705,3875,0.007741935
Posterior parietal,Primary sensory,136,5578,11470,17048,0.007977475
Striatum,Stria terminalis,187,44561,2548,47109,0.003969518
Primary motor,Subiculum,15,14724,1865,16589,0.000904214
Supplementary motor,Thalamic reticular,10,2764,3701,6465,0.00154679
Substantia nigra,Ventromedial prefrontal,32,19357,732,20089,0.001592912
(Dorsomedial AND hypothal*),Subthalam*,0,0,0,0,0
Ambiguus,Cingulate,8,1208,11096,12304,0.000650195
Angular gyrus,"(""Centromedian"" AND (nuclei OR nucleus))",0,641,143,784,0
Ambiguus,Putamen,20,1196,10729,11925,0.001677149
Angular gyrus,Nucleus accumbens,1,640,12806,13446,7.44E-05
Angular gyrus,Visual cortex,131,510,39122,39632,0.00330541
Anterior cingulate,Striatum,493,6280,44255,50535,0.009755615
Cingulum,Visual extrastriate,1,684,1533,2217,0.00045106
(Dorsomedial AND hypothal*),Primary auditory,0,0,5386,5386,0
Fusiform,Hypothalam*,0,5455,3,5458,0
Entorhinal,Striatum,240,5307,44508,49815,0.004817826
Calcarine fissure,Cerebellum,3,117,56880,56997,5.26E-05
Basal forbrain,Primary sensory,184,1,11606,11607,0.015852503
Broca's area,Entorhinal,281,52142,5266,57408,0.004894788
Caudate,Entorhinal,198,18603,5349,23952,0.008266533
Cerebellum,Ventral tegmentum,165,56718,4661,61379,0.002688216
Cerebellum,Precuneus,181,56702,1039,57741,0.003134688
Globus pallidus,"(""Medial dorsal"" AND nucl*)",0,8106,1,8107,0
Diagonal band of Broca,(Inferior AND collicul*),25,883,81308,82191,0.00030417
"(""Heschl's gyrus"" OR ""Transverse temporal"")",Superior frontal,0,6,4955,4961,0
Indusium griseum,Parahippocamp*,0,77,0,77,0
(Inferior AND collicul*),"(""Ventral anterior"" AND (nuclei OR nucleus))",195,81138,1263,82401,0.002366476
Insula*,Postcentral gyrus,95,3015,529,3544,0.026805869
Medial frontal,Prefrontal,1694,4184,22407,26591,0.063705765
Middle frontal,Visual cortex,1120,19352,38133,57485,0.019483343
Middle temporal,"(""Superior olive"" OR ""superior olivary"")",3,37420,511,37931,7.91E-05
Medial geniculate,Thalamic reticular,229,1633,3482,5115,0.044770283
Medial geniculate,"(""Ventral posteromedial"" AND (nuclei OR nucleus))",18,1844,125,1969,0.009141696
"(""Medial dorsal"" AND nucl*)","(""Mammillary body"" OR ""Mammillary bodies)",0,1,0,1,0
Parahippocamp*,Precuneus,0,0,1220,1220,0
Pineal,Superior frontal,10,14393,4945,19338,0.000517117
Piriform cortex,Visual extrastriate,0,2070,1534,3604,0
"(""Posterior nucleus"" AND hypothalamus)",Substantia nigra,156,2584,19233,21817,0.007150387
"(""Posterior nucleus"" AND hypothalamus)",Stria terminalis,260,2480,2475,4955,0.05247225
Perirhinal,Ventral tegmentum,9,1191,4817,6008,0.001498003
Pineal,Postcentral gyrus,0,14403,624,15027,0
Orbitofrontal,Putamen,113,2883,10636,13519,0.008358606
Supplementary motor,"(""Ventral anterior"" AND (nuclei OR nucleus))",24,2750,1434,4184,0.005736138
Prefrontal,Pulvinar,69,24032,1064,25096,0.002749442
Subgranular,Striatum,17,615,44731,45346,0.000374895
Putamen,Subthalam*,0,10749,0,10749,0
"(""Red nucleus"")","(""Straight gyrus"" OR ""gyrus rectus"")",0,4498,2,4500,0
Ambiguus,"(""Gustatory cortex"" OR ""gustatory area"")",1,1215,68,1283,0.000779423
Anterior cingulate,"(""Gustatory cortex"" OR ""gustatory area"")",2,6771,67,6838,0.000292483
Anterior cingulate,"(""Mammillary body"" OR ""Mammillary bodies)",8,6765,0,6765,0.001182557
Claustrum,Substantia nigra,108,747,19281,20028,0.005392451
(Dorsomedial AND hypothal*),Ventral tegmentum,0,0,4826,4826,0
(Dorsomedial AND hypothal*),"(""Locus coeruleus"" OR ""locus ceruleus"")",0,0,3308,3308,0
Calcarine fissure,Fusiform,3,117,5452,5569,0.000538696
Calcarine fissure,Suprachiasmatic,0,120,6026,6146,0
Basal forbrain,"(""Ventral posterior"" AND (nuclei OR nucleus))",168,1,1478,1479,0.113590264
"(""Centromedian"" AND (nuclei OR nucleus))",Wernicke's area,3,140,40898,41038,7.31E-05
(Cochlear AND (nuclei OR nucleus)),(Superior AND collicul*),723,3704,171604,175308,0.00412417
Dentate gyrus,Medial geniculate,47,11910,1815,13725,0.003424408
Fusiform,"(""Nucleus gracilis"" OR ""gracile nucleus"")",1,5454,5,5459,0.000183184
Diagonal band of Broca,Pulvinar,2,906,1131,2037,0.000981836
"(""Gustatory cortex"" OR ""gustatory area"")",Olfactory bulb,4,65,11265,11330,0.000353045
Fusiform,Postcentral gyrus,38,5417,586,6003,0.006330168
Hippocamp*,Interstitial nucleus,0,184,2039,2223,0
"(""Gustatory cortex"" OR ""gustatory area"")",(Septal AND (nuclei OR nucleus)),2,67,2411,2478,0.000807103
Hippocamp*,Primary sensory,0,184,11606,11790,0
(Inferior AND collicul*),"(""Locus coeruleus"" OR ""locus ceruleus"")",107,81226,3201,84427,0.001267367
(Inferior AND collicul*),"(""Posterior nucleus"" AND hypothalamus)",136,81197,2604,83801,0.001622892
Insula*,Superior temporal,464,2646,8497,11143,0.041640492
Lingual gyrus,Middle temporal,129,304,37294,37598,0.003431034
(Intralaminar AND (nuclei OR nucleus)),Orbitofrontal,11,765,2985,3750,0.002933333
Lateral geniculate,Pontine nuclei,218,5617,7490,13107,0.016632334
"(""Nucleus cuneatus"" OR ""cuneate nucleus"")",Suprachiasmatic,0,8,6026,6034,0
Olfactory bulb,Pons,237,11032,17316,28348,0.008360378
"(Medulla OR ""medulla oblongata"")",Nucleus basalis,75,22490,2255,24745,0.003030915
Olfactory bulb,Primary sensory,212,11057,11394,22451,0.009442787
Paracentral lobule,Suprachiasmatic,0,67,6026,6093,0
Parahippocamp*,Pineal,0,0,14403,14403,0
Paracentral lobule,Primary sensory,4,63,11602,11665,0.000342906
"(""Nucleus cuneatus"" OR ""cuneate nucleus"")",Posterior parietal,0,8,5714,5722,0
Operculum,Prefrontal,102,824,23999,24823,0.004109092
Posterior parietal,Subgranular,0,5714,632,6346,0
Pons,Visual cortex,312,17241,38941,56182,0.00555338
Pons,Primary motor,147,17406,14592,31998,0.004594037
Primary motor,Subthalam*,0,14739,0,14739,0
Pontine nuclei,Striatum,247,7461,44501,51962,0.004753474
Premotor,Substantia nigra,96,4633,19293,23926,0.004012371
Superior frontal,"(""Ventral posterolateral"" AND (nuclei OR nucleus))",1,4954,142,5096,0.000196232
Superior frontal,Superior temporal,2364,2591,6597,9188,0.25729212
Caudate,Superior frontal,255,18546,4700,23246,0.010969629
"(""Centromedian"" AND (nuclei OR nucleus))",Posterior parahippocampal gyrus,0,143,489,632,0
Ambiguus,Thalamus,25,1191,32515,33706,0.000741708
Angular gyrus,Cingulum,5,636,680,1316,0.003799392
Anterior cingulate,Posterior cingulate,1618,5155,1307,6462,0.250386877
Anterior cingulate,Prefrontal,2734,4039,21367,25406,0.107612375
Anterior cingulate,Cerebellum,602,6171,56281,62452,0.009639403
Cingulum,"(""Nucleus gracilis"" OR ""gracile nucleus"")",0,685,6,691,0
Dorsolateral prefrontal,Pons,27,3585,17526,21111,0.001278954
Entorhinal,"(""Ventral posterolateral"" AND (nuclei OR nucleus))",10,5537,133,5670,0.001763668
"(""Centromedian"" AND (nuclei OR nucleus))","(""Locus coeruleus"" OR ""locus ceruleus"")",3,140,3305,3445,0.000870827
Cerebellum,"(""Locus coeruleus"" OR ""locus ceruleus"")",210,56673,3098,59771,0.00351341
Globus pallidus,"(""Straight gyrus"" OR ""gyrus rectus"")",0,8106,2,8108,0
(Cochlear AND (nuclei OR nucleus)),Lingual gyrus,0,4427,433,4860,0
(Cochlear AND (nuclei OR nucleus)),"(""Mammillary body"" OR ""Mammillary bodies)",1,4426,1,4427,0.000225887
Fusiform,Ventromedial prefrontal,15,5440,749,6189,0.002423655
Globus pallidus,Perirhinal,16,8090,1184,9274,0.001725253
Cerebellum,Insula*,378,56505,2732,59237,0.006381147
Globus pallidus,Prefrontal,245,7861,23856,31717,0.007724564
"(""Gustatory cortex"" OR ""gustatory area"")",(Intralaminar AND (nuclei OR nucleus)),1,68,775,843,0.00118624
"(""Gustatory cortex"" OR ""gustatory area"")",Superior temporal,2,67,8959,9026,0.000221582
Indusium griseum,Insula*,0,77,3110,3187,0
(Inferior AND collicul*),"(""Nucleus gracilis"" OR ""gracile nucleus"")",0,81333,6,81339,0
"(""Heschl's gyrus"" OR ""Transverse temporal"")",Lingual gyrus,0,6,433,439,0
Inferior parietal lobule,"(""Ventral posterior"" AND (nuclei OR nucleus))",5,911,1473,2384,0.002097315
Inferior frontal,Lingual gyrus,127,4995,306,5301,0.023957744
Inferior frontal,Medial frontal,972,4150,4906,9056,0.107332155
Interstitial nucleus,Medial geniculate,27,2012,1835,3847,0.007018456
"(""Inferior olive"" OR ""Inferior olivary"")",Stria terminalis,5,829,2730,3559,0.001404889
Middle frontal,Thalamic reticular,25,20447,3686,24133,0.001035926
Medial geniculate,Pontine nuclei,160,1702,7548,9250,0.017297297
Olfactory bulb,(Raphe AND (nuclei OR nucleus)),140,11129,4245,15374,0.009106283
Olfactory bulb,"(""Posterior nucleus"" AND hypothalamus)",131,11138,2609,13747,0.009529352
Parahippocamp*,"(""Ventral posterior"" AND (nuclei OR nucleus))",0,0,1478,1478,0
"(""Nucleus cuneatus"" OR ""cuneate nucleus"")","(""Nucleus gracilis"" OR ""gracile nucleus"")",1,7,5,12,0.083333333
Olfactory bulb,Visual cortex,122,11147,39131,50278,0.002426509
Posterior cingulate,Precuneus,452,2473,768,3241,0.139463129
Pons,Substantia nigra,551,17002,18838,35840,0.015373884
Pineal,Pontine nuclei,30,14373,7678,22051,0.001360483
Primary sensory,"(""Ventral posterior"" AND (nuclei OR nucleus))",52,11554,1426,12980,0.004006163
"(""Straight gyrus"" OR ""gyrus rectus"")",(Septal AND (nuclei OR nucleus)),0,2,2413,2415,0
"(""Straight gyrus"" OR ""gyrus rectus"")",Supplementary motor,0,2,2774,2776,0
Precuneus,Striatum,38,1182,44710,45892,0.000828031
Primary motor,Visual extrastriate,24,14715,1510,16225,0.001479199
Postcentral gyrus,Superior frontal,121,503,4834,5337,0.022671913
Precuneus,Ventromedial prefrontal,31,1189,733,1922,0.016129032
Thalamic reticular,Temporoparietal,1,3710,1459,5169,0.000193461
"(""Superior olive"" OR ""superior olivary"")","(""Ventral posteromedial"" AND (nuclei OR nucleus))",0,514,143,657,0
(Superior AND collicul*),Superior frontal,4955,167372,0,167372,0.029604713
Calcarine fissure,Premotor,0,120,4729,4849,0
Superior temporal,Ventromedial prefrontal,51,8910,713,9623,0.005299803
Ambiguus,Nucleus basalis,6,1210,2324,3534,0.001697793
Ambiguus,Parahippocamp*,0,1216,0,1216,0
Ambiguus,"(""Medial dorsal"" AND nucl*)",0,1216,1,1217,0
Amygdala,Lateral geniculate,197,23160,5638,28798,0.006840753
Cingulum,(Periventricular AND (nuclei OR nucleus)),3,682,1071,1753,0.001711352
Claustrum,Primary sensory,10,845,11596,12441,0.000803794
Claustrum,(Septal AND (nuclei OR nucleus)),26,829,2387,3216,0.008084577
Entorhinal,"(""Nucleus gracilis"" OR ""gracile nucleus"")",0,5547,6,5553,0
Fusiform,Inferior frontal,350,5105,4772,9877,0.035435861
Caudate,Dentate gyrus,349,18452,11608,30060,0.011610113
Dorsolateral prefrontal,Inferior parietal lobule,78,3534,838,4372,0.017840805
Cingulate,Ventromedial prefrontal,187,10917,577,11494,0.016269358
(Cochlear AND (nuclei OR nucleus)),Superior temporal,54,4373,8907,13280,0.004066265
Dentate gyrus,Precuneus,2,11955,1218,13173,0.000151826
"(""Gustatory cortex"" OR ""gustatory area"")",Striatum,0,69,44748,44817,0
(Cochlear AND (nuclei OR nucleus)),Premotor,10,4417,4719,9136,0.001094571
Hypothalam*,Middle frontal,0,3,20472,20475,0
Hippocamp*,"(""Posterior nucleus"" AND hypothalamus)",2,182,2738,2920,0.000684932
Indusium griseum,Striatum,6,71,44742,44813,0.00013389
Inferior parietal lobule,Inferior temporal,445,471,6170,6641,0.067007981
Hypothalam*,Postcentral gyrus,0,3,624,627,0
Inferior temporal,Lingual gyrus,116,6499,317,6816,0.017018779
Interstitial nucleus,"(""Ventral posterolateral"" AND (nuclei OR nucleus))",4,2035,139,2174,0.001839926
Insula*,Posterior parietal,340,2770,5374,8144,0.041748527
Lingual gyrus,"(""Posterior nucleus"" AND hypothalamus)",0,433,2740,3173,0
"(""Medial dorsal"" AND nucl*)",Visual extrastriate,0,1,1534,1535,0
"(""Medial dorsal"" AND nucl*)",Substantia nigra,1,0,19388,19388,5.16E-05
Middle frontal,Stria terminalis,9,20463,2726,23189,0.000388115
Medial geniculate,Primary motor,18,1844,14721,16565,0.001086628
Medial geniculate,Subiculum,27,1835,1853,3688,0.007321041
"(""Locus coeruleus"" OR ""locus ceruleus"")",Subthalam*,0,3308,0,3308,0
"(""Locus coeruleus"" OR ""locus ceruleus"")",Superior temporal,10,3298,8951,12249,0.000816393
Parahippocamp*,Thalamus,0,0,32540,32540,0
"(Medulla OR ""medulla oblongata"")","(""Ventral posteromedial"" AND (nuclei OR nucleus))",6,22559,137,22696,0.000264364
Nucleus basalis,Parahippocamp*,0,2330,0,2330,0
Operculum,Primary motor,52,874,14687,15561,0.003341688
Pons,"(""Straight gyrus"" OR ""gyrus rectus"")",0,17553,2,17555,0
Primary auditory,"(""Straight gyrus"" OR ""gyrus rectus"")",0,5386,2,5388,0
Primary sensory,Ventral tegmentum,22,11584,4804,16388,0.001342446
Precuneus,Posterior parietal,350,870,5364,6234,0.056143728
(Septal AND (nuclei OR nucleus)),"(""Superior olive"" OR ""superior olivary"")",2,2411,512,2923,0.000684229
Striatum,Visual extrastriate,27,44721,1507,46228,0.000584062
Putamen,Thalamic reticular,152,10597,3559,14156,0.010737496
Wernicke's area,Visual extrastriate,248,40653,1286,41939,0.00591335
"(""Red nucleus"")",(Septal AND (nuclei OR nucleus)),32,4466,2381,6847,0.00467358
Superior temporal,Wernicke's area,3183,5778,37718,43496,0.073179143
Angular gyrus,"(""Medial dorsal"" AND nucl*)",0,641,1,642,0
Amygdala,Pulvinar,76,23281,1057,24338,0.003122689
Caudate,Visual extrastriate,12,18789,1522,20311,0.000590813
"(""Centromedian"" AND (nuclei OR nucleus))",Zona incerta,11,132,2909,3041,0.003617231
Cerebellum,Lateral geniculate,165,56718,5670,62388,0.002644739
Fusiform,(Superior AND collicul*),698,4757,171629,176386,0.00395723
(Cochlear AND (nuclei OR nucleus)),Postcentral gyrus,0,4427,624,5051,0
Diagonal band of Broca,Lateral geniculate,14,894,5821,6715,0.002084885
Dentate gyrus,Operculum,2,11955,924,12879,0.000155292
"(""Gustatory cortex"" OR ""gustatory area"")","(""Inferior olive"" OR ""Inferior olivary"")",0,69,834,903,0
Dentate gyrus,Thalamic reticular,87,11870,3624,15494,0.005615077
"(""Gustatory cortex"" OR ""gustatory area"")",Posterior cingulate,3,66,2922,2988,0.001004016
Hippocamp*,Hypothalam*,0,184,3,187,0
Indusium griseum,"(""Nucleus cuneatus"" OR ""cuneate nucleus"")",0,77,8,85,0
Inferior parietal lobule,Posterior parahippocampal gyrus,32,884,457,1341,0.023862789
Interstitial nucleus,Perirhinal,1,2038,1199,3237,0.000308928
Inferior frontal,Interstitial nucleus,7,5115,2032,7147,0.000979432
Interstitial nucleus,Putamen,17,2022,10732,12754,0.001332915
Lateral geniculate,"(""Ventral posterior"" AND (nuclei OR nucleus))",261,5574,1217,6791,0.03843322
"(""Mammillary body"" OR ""Mammillary bodies)",Posterior parahippocampal gyrus,0,0,488,488,0
"(""Locus coeruleus"" OR ""locus ceruleus"")",(Periventricular AND (nuclei OR nucleus)),44,3264,1030,4294,0.010246856
"(""Locus coeruleus"" OR ""locus ceruleus"")",Putamen,72,3236,10677,13913,0.005175016
Nucleus accumbens,"(""Posterior nucleus"" AND hypothalamus)",177,12630,2563,15193,0.011650102
Paracentral lobule,Pons,1,66,17552,17618,5.68E-05
"(""Nucleus cuneatus"" OR ""cuneate nucleus"")",Postcentral gyrus,0,8,624,632,0
"(""Nucleus cuneatus"" OR ""cuneate nucleus"")",Prefrontal,0,8,24101,24109,0
Piriform cortex,Putamen,151,1919,10598,12517,0.012063594
Postcentral gyrus,"(""Ventral anterior"" AND (nuclei OR nucleus))",0,624,1458,2082,0
Primary sensory,Primary motor,2682,8924,12057,20981,0.127829941
Subgranular,Subthalam*,0,632,0,632,0
"(""Superior olive"" OR ""superior olivary"")",(Superior AND collicul*),514,0,171813,171813,0.002991625
Ambiguus,Hippocamp*,0,1216,184,1400,0
Ambiguus,Inferior parietal lobule,0,1216,916,2132,0
Amygdala,Broca's area,2068,21289,50355,71644,0.028864943
Angular gyrus,Supplementary motor,24,617,2750,3367,0.007128007
Amygdala,Subiculum,316,23041,1564,24605,0.012842918
Anterior cingulate,Superior frontal,604,6169,4351,10520,0.057414449
Anterior cingulate,(Superior AND collicul*),917,5856,171410,177266,0.005173017
Amygdala,periaqueductal,601,22756,3975,26731,0.022483259
Claustrum,Pineal,7,848,14396,15244,0.000459197
(Dorsomedial AND hypothal*),Nucleus basalis,0,0,2330,2330,0
Basal forbrain,Globus pallidus,2421,1,8106,8107,0.298630813
Basal forbrain,"(""Ventral posteromedial"" AND (nuclei OR nucleus))",12,1,143,144,0.083333333
Calcarine fissure,Visual cortex,78,42,39175,39217,0.001988933
Cerebellum,Dorsolateral prefrontal,243,56640,3369,60009,0.004049393
(Cochlear AND (nuclei OR nucleus)),Stria terminalis,18,4409,2717,7126,0.002525961
(Cochlear AND (nuclei OR nucleus)),Subthalam*,0,4427,0,4427,0
"(""Heschl's gyrus"" OR ""Transverse temporal"")","(""Straight gyrus"" OR ""gyrus rectus"")",0,6,2,8,0
Hippocamp*,Lingual gyrus,0,184,433,617,0
Diagonal band of Broca,Dentate gyrus,38,870,11919,12789,0.002971303
"(""Medial dorsal"" AND nucl*)",Operculum,0,1,926,927,0
"(""Locus coeruleus"" OR ""locus ceruleus"")",Orbitofrontal,6,3302,2990,6292,0.000953592
Infralimbic,Medial frontal,78,418,5800,6218,0.012544226
"(Medulla OR ""medulla oblongata"")",Visual extrastriate,4,22561,1530,24091,0.000166037
Lateral geniculate,(Septal AND (nuclei OR nucleus)),51,5784,2362,8146,0.006260741
Medial geniculate,Prefrontal,24,1838,24077,25915,0.000926105
Middle frontal,Posterior parahippocampal gyrus,66,20406,423,20829,0.003168659
Parahippocamp*,Posterior parahippocampal gyrus,0,0,489,489,0
Parahippocamp*,Primary motor,0,0,14739,14739,0
Nucleus accumbens,"(""Red nucleus"")",66,12741,4432,17173,0.003843242
Parahippocamp*,Ventromedial prefrontal,0,0,764,764,0
Postcentral gyrus,Visual extrastriate,1,623,1533,2156,0.000463822
Operculum,"(""Ventral anterior"" AND (nuclei OR nucleus))",4,922,1454,2376,0.001683502
Operculum,Wernicke's area,121,805,40780,41585,0.002909703
Pons,Subthalam*,0,17553,0,17553,0
Posterior cingulate,"(""Ventral anterior"" AND (nuclei OR nucleus))",75,2850,1383,4233,0.017717931
Posterior cingulate,Wernicke's area,525,2400,40376,42776,0.012273237
Precuneus,Substantia nigra,7,1213,19382,20595,0.000339888
Striatum,"(""Ventral posterior"" AND (nuclei OR nucleus))",117,44631,1361,45992,0.002543921
Precuneus,Visual cortex,275,945,38978,39923,0.00688826
Superior frontal,Visual extrastriate,60,4895,1474,6369,0.009420631
Caudate,"(""Nucleus cuneatus"" OR ""cuneate nucleus"")",1,18800,7,18807,5.32E-05
Amygdala,Dentate gyrus,790,22567,11167,33734,0.02341851
Cingulum,Subthalam*,0,685,0,685,0
Claustrum,Ventromedial prefrontal,6,849,758,1607,0.003733665
Dorsolateral prefrontal,Visual extrastriate,22,3590,1512,5102,0.004312034
(Dorsomedial AND hypothal*),Hippocamp*,0,0,184,184,0
Entorhinal,Paracentral lobule,0,5547,67,5614,0
Calcarine fissure,Temporoparietal,0,120,1460,1580,0
Calcarine fissure,"(""Ventral posterior"" AND (nuclei OR nucleus))",2,118,1476,1594,0.001254705
Caudate,(Raphe AND (nuclei OR nucleus)),261,18540,4124,22664,0.011516061
Caudate,Posterior parietal,190,18611,5524,24135,0.007872385
Globus pallidus,Pons,241,7865,17312,25177,0.009572229
"(""Heschl's gyrus"" OR ""Transverse temporal"")",Hypothalam*,0,6,3,9,0
"(""Inferior olive"" OR ""Inferior olivary"")",Superior frontal,4,830,4951,5781,0.000691922
(Inferior AND collicul*),Premotor,674,80659,4055,84714,0.007956182
Indusium griseum,(Periventricular AND (nuclei OR nucleus)),1,76,1073,1149,0.000870322
Inferior parietal lobule,"(""Nucleus gracilis"" OR ""gracile nucleus"")",0,916,6,922,0
(Inferior AND collicul*),Operculum,158,81175,768,81943,0.00192817
"(""Inferior olive"" OR ""Inferior olivary"")","(""Superior olive"" OR ""superior olivary"")",225,609,289,898,0.250556793
Inferior frontal,Infralimbic,1,5121,495,5616,0.000178063
"(""Heschl's gyrus"" OR ""Transverse temporal"")",Middle temporal,6,0,37417,37417,0.000160355
Middle temporal,"(""Nucleus cuneatus"" OR ""cuneate nucleus"")",0,37423,8,37431,0
Middle frontal,Pulvinar,37,20435,1096,21531,0.001718452
"(""Nucleus cuneatus"" OR ""cuneate nucleus"")",Supplementary motor,0,8,2774,2782,0
Nucleus accumbens,Posterior cingulate,72,12735,2853,15588,0.004618938
